product_id,name,category,brand,price,rating,stock,supplier,delivery_days,warranty_months,compliance_level,description,tags
P-0001,Asus Plus Laptop 100,Laptop,Asus,762.51,4.1,217,Fabrikam Procurement,8,36,Business,"Asus laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0002,Lenovo Secure Laptop 101,Laptop,Lenovo,966.5,3.9,162,Initech Corporate Supply,4,36,Business,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0003,Dell Pro Laptop 102,Laptop,Dell,735.18,4.1,146,Initech Corporate Supply,10,48,Eco-Preferred,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0004,HP Essential Laptop 103,Laptop,HP,641.38,4.2,50,Northwind Office Supply,9,36,Eco-Preferred,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0005,Acer Fleet Laptop 104,Laptop,Acer,994.18,4.4,234,Globex Workplace,4,36,ISO-Ready,"Acer laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, high-rating"
P-0006,Acer Ultra Laptop 105,Laptop,Acer,794.96,4.1,175,Initech Corporate Supply,2,48,Eco-Preferred,"Acer laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0007,HP Secure Laptop 106,Laptop,HP,700.05,4.5,82,Umbrella Office Systems,1,36,ISO-Ready,"HP laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, high-rating"
P-0008,Dell Team Laptop 107,Laptop,Dell,1618.14,4.6,24,Globex Workplace,12,24,Enterprise,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, high-rating"
P-0009,Lenovo Team Laptop 108,Laptop,Lenovo,913.93,4.3,140,Initech Corporate Supply,11,48,Enterprise,"Lenovo laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, standard-delivery, value"
P-0010,Dell Plus Laptop 109,Laptop,Dell,1267.41,3.9,141,Umbrella Office Systems,2,48,Standard,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, value"
P-0011,Dell Plus Laptop 110,Laptop,Dell,849.68,4.7,143,Globex Workplace,4,24,Enterprise,"Dell laptop for enterprise procurement, team onboarding and managed office equipment refreshes.","laptop, office, enterprise, fast-delivery, high-rating"
